"statistic"	"source"	"condition"	"score"	"p_value"
"mlm"	"Androgen"	"CDX2g1_CTRL"	0.490757691197797	0.623605547977766
"mlm"	"EGFR"	"CDX2g1_CTRL"	-0.0967776084142552	0.922904395000848
"mlm"	"Estrogen"	"CDX2g1_CTRL"	-0.339395399624855	0.734316986951116
"mlm"	"Hypoxia"	"CDX2g1_CTRL"	-0.0849747528966079	0.932282680376013
"mlm"	"JAK-STAT"	"CDX2g1_CTRL"	-0.407312738667022	0.683784550527012
"mlm"	"MAPK"	"CDX2g1_CTRL"	-0.0766091081873762	0.938935610330752
"mlm"	"NFkB"	"CDX2g1_CTRL"	1.15723222967324	0.247197285038241
"mlm"	"PI3K"	"CDX2g1_CTRL"	0.190830445016878	0.848661209128407
"mlm"	"TGFb"	"CDX2g1_CTRL"	0.18066384020857	0.856634064427724
"mlm"	"TNFa"	"CDX2g1_CTRL"	-0.239594640230978	0.810648036313054
"mlm"	"Trail"	"CDX2g1_CTRL"	0.0373063324326475	0.970241289656085
"mlm"	"VEGF"	"CDX2g1_CTRL"	-0.111184645623805	0.911471524871901
"mlm"	"WNT"	"CDX2g1_CTRL"	-0.0407623952409307	0.967485901349059
"mlm"	"p53"	"CDX2g1_CTRL"	-0.116878025817113	0.906958392242684
"mlm"	"Androgen"	"CDX2g1_IFNg"	0.105652955873532	0.915859224467411
"mlm"	"EGFR"	"CDX2g1_IFNg"	-0.674270409036825	0.500150573376576
"mlm"	"Estrogen"	"CDX2g1_IFNg"	0.421904315515741	0.673101353950664
"mlm"	"Hypoxia"	"CDX2g1_IFNg"	1.58351454171282	0.113326877419337
"mlm"	"JAK-STAT"	"CDX2g1_IFNg"	-0.99016066486565	0.322112749475112
"mlm"	"MAPK"	"CDX2g1_IFNg"	0.324860798055472	0.745291293458793
"mlm"	"NFkB"	"CDX2g1_IFNg"	-0.080510200815212	0.935832637090935
"mlm"	"PI3K"	"CDX2g1_IFNg"	-0.223285137046937	0.823316859834291
"mlm"	"TGFb"	"CDX2g1_IFNg"	-3.06021996819329	0.00221594030661963
"mlm"	"TNFa"	"CDX2g1_IFNg"	0.210461983601732	0.83331019015148
"mlm"	"Trail"	"CDX2g1_IFNg"	0.00688388325705008	0.99450759753187
"mlm"	"VEGF"	"CDX2g1_IFNg"	-0.108469231291217	0.913625044599518
"mlm"	"WNT"	"CDX2g1_IFNg"	-0.0214522921513477	0.982885166505078
"mlm"	"p53"	"CDX2g1_IFNg"	-0.397019272930133	0.691359315127918
"mlm"	"Androgen"	"CHD1g2MAP3K7g1_CTRL"	0.480627644335069	0.630788692845654
"mlm"	"EGFR"	"CHD1g2MAP3K7g1_CTRL"	1.75671208892545	0.0789888082041462
"mlm"	"Estrogen"	"CHD1g2MAP3K7g1_CTRL"	2.48057242090159	0.0131288504283017
